# pipeline profile — started 2026-08-27 09:24:23
   ctrl+mav          0.34 ms    1.9%
   hud               3.73 ms   20.7%
   display           4.94 ms   27.5%
     detect          5.34 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.70 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.62 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.79 ms  (sub)
     hud:yaw         0.31 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.53 ms  (sub)
     disp:waitkey    4.37 ms  (sub)
[PROF 09:25:14]  60 frames   18.19 ms/frame  ->  55.0 FPS
   capture           3.35 ms   18.4%
   track             6.01 ms   33.0%
   ctrl+mav          0.33 ms    1.8%
   hud               3.85 ms   21.2%
   display           4.65 ms   25.5%
     detect          5.51 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.71 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.10 ms  (sub)
     hud:warp        1.65 ms  (sub)
     hud:arc         0.06 ms  (sub)
     hud:blend       0.83 ms  (sub)
     hud:yaw         0.33 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.54 ms  (sub)
     disp:waitkey    4.07 ms  (sub)
[PROF 09:25:16]  61 frames   17.50 ms/frame  ->  57.1 FPS
   capture           3.04 ms   17.4%
   track             5.39 ms   30.8%
   ctrl+mav          0.32 ms    1.9%
   hud               3.74 ms   21.4%
   display           5.00 ms   28.6%
     detect          4.95 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.71 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.10 ms  (sub)
     hud:warp        1.61 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.80 ms  (sub)
     hud:yaw         0.30 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.54 ms  (sub)
     disp:waitkey    4.43 ms  (sub)
[PROF 09:25:18]  59 frames   18.06 ms/frame  ->  55.4 FPS
   capture           3.36 ms   18.6%
   track             5.51 ms   30.5%
   ctrl+mav          0.34 ms    1.9%
   hud               3.83 ms   21.2%
   display           5.02 ms   27.8%
     detect          5.06 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.76 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.62 ms  (sub)
     hud:arc         0.06 ms  (sub)
     hud:blend       0.83 ms  (sub)
     hud:yaw         0.30 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.53 ms  (sub)
     disp:waitkey    4.45 ms  (sub)
[PROF 09:25:20]  58 frames   18.01 ms/frame  ->  55.5 FPS
   capture           3.32 ms   18.4%
   track             5.65 ms   31.4%
   ctrl+mav          0.36 ms    2.0%
   hud               3.75 ms   20.8%
   display           4.93 ms   27.3%
     detect          5.16 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.74 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.59 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.82 ms  (sub)
     hud:yaw         0.30 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.50 ms  (sub)
     disp:waitkey    4.38 ms  (sub)
[PROF 09:25:22]  58 frames   17.96 ms/frame  ->  55.7 FPS
   capture           3.21 ms   17.8%
   track             5.64 ms   31.4%
   ctrl+mav          0.33 ms    1.8%
   hud               3.94 ms   21.9%
   display           4.84 ms   27.0%
     detect          5.15 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.75 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.10 ms  (sub)
     hud:warp        1.73 ms  (sub)
     hud:arc         0.05 ms  (sub)
